iter	RMSE
181	5.182356471
182	5.175747505
183	5.172899828
184	5.169826242
185	5.166388043
186	5.161839335
187	5.158983967
188	5.154880187
189	5.15200477
190	5.146078197
191	5.142483843
192	5.140618795
193	5.137077041
194	5.134189036
195	5.13113536
196	5.127861997
197	5.126328999
198	5.123888729
199	5.122147852
200	5.119313544
201	5.118188766
202	5.11607561
203	5.111408897
204	5.109944058
205	5.10891536
206	5.106920959
207	5.104134345
208	5.101380122
209	5.096919294
210	5.093905341
211	5.090721428
212	5.089276799
213	5.088235631
214	5.081092085
215	5.078436068
216	5.074866722
217	5.070373507
218	5.065058138
219	5.062760956
220	5.061427308
221	5.058679947
222	5.055726945
223	5.05283819
224	5.050797254
225	5.047167085
226	5.04530771
227	5.043173199
228	5.041134212
229	5.039254513
230	5.036586184
231	5.034760563
232	5.034178553
233	5.033129093
234	5.032609807
235	5.030722343
236	5.027918333
237	5.026929104
238	5.021646167
239	5.021247903
240	5.019416472
241	5.018933214
242	5.016633856
243	5.013654003
244	5.008275423
245	5.006522008
246	5.005676271
247	5.000795098
248	4.998308742
249	4.993700282
250	4.991912135
251	4.987572945
252	4.985203604
253	4.983108707
254	4.982232055
255	4.97843323
256	4.976623009
257	4.976027382
258	4.972784206
259	4.968406787
260	4.968029768
261	4.965562737
262	4.964108992
263	4.960360566
264	4.956648954
265	4.950002009
266	4.947158834
267	4.946139734
268	4.944219834
269	4.939657422
270	4.938807865
271	4.937790066
272	4.936094871
273	4.934287662
274	4.930847944
275	4.930464991
276	4.929371878
277	4.921777637
278	4.917801344
279	4.915351208
280	4.908436133
281	4.90562008
282	4.899727158
283	4.897702507
284	4.897303799
285	4.893723295
286	4.8891538
287	4.885854678
288	4.88193446
289	4.877942342
290	4.873016171
291	4.871833206
292	4.871240746
293	4.867726276
294	4.863044118
295	4.86191209
296	4.860358192
297	4.858579462
298	4.857048322
299	4.854893319
300	4.852147567
301	4.847165305
302	4.845704189
303	4.838131931
304	4.836964861
305	4.834808216
306	4.834518816
307	4.833046756
308	4.828828601
309	4.822762668
310	4.821372427
311	4.818792835
312	4.815715186
313	4.814740401
314	4.810896359
315	4.808279205
316	4.805850811
317	4.80395291
318	4.803610788
319	4.801856188
320	4.795977159
321	4.791897268
322	4.788597601
323	4.788055365
324	4.782352074
325	4.780510805
326	4.778006892
327	4.772979158
328	4.769862214
329	4.765657744
330	4.764988466
331	4.76422457
332	4.763877306
333	4.75929797
334	4.753711281
335	4.747197201
336	4.742345979
337	4.740372959
338	4.737638064
339	4.7373513
340	4.734382104
341	4.731166306
342	4.728624854
343	4.728248854
344	4.726729388
345	4.72200346
346	4.721821711
347	4.717773451
348	4.716198797
349	4.714639298
350	4.71088831
351	4.706852818
352	4.706458907
353	4.703972996
354	4.703571828
355	4.70284444
356	4.700489503
357	4.698160619
358	4.697036322
359	4.693554113
360	4.690666473
361	4.688065272
362	4.687759785
363	4.682727178
364	4.682065758
365	4.678155012
366	4.674925602
367	4.672491541
368	4.66957093
369	4.665806066
370	4.660705521
371	4.660327046
372	4.657455247
373	4.657080868
374	4.655223308
375	4.651014843
376	4.650162565
377	4.646571472
378	4.641309609
379	4.636643924
380	4.632664158
381	4.630385046
382	4.629600615
383	4.629110698
384	4.626314751
385	4.624567474
386	4.621760445
387	4.620104367
388	4.619131454
389	4.615829273
390	4.613855614
391	4.612340398
392	4.611095969
393	4.610533616
394	4.608293268
395	4.606335573
396	4.602690441
397	4.602017564
398	4.597544956
399	4.593401313
400	4.586935102
401	4.584197816
402	4.582271642
403	4.578177862
404	4.57793116
405	4.577193257
406	4.575384731
407	4.575120978
408	4.574447758
409	4.573598147
410	4.570038391
411	4.568902451
412	4.566796854
413	4.56656508
414	4.56360025
415	4.563147074
416	4.562429122
417	4.559587554
418	4.55538994
419	4.549953792
420	4.548564469
421	4.545445627
422	4.543128782
423	4.542929312
424	4.540746287
425	4.540094818
426	4.535151339
427	4.532639869
428	4.529172188
429	4.527979465
430	4.524961882
431	4.520808732
432	4.518991705
433	4.515714404
434	4.514545538
435	4.512709716
436	4.508003126
437	4.506205168
438	4.504243523
439	4.501750495
440	4.4999818
441	4.499465099
442	4.496066507
443	4.494963165
444	4.494673809
445	4.493318982
446	4.490212749
447	4.486494462
448	4.483084835
449	4.482392783
450	4.480139658
451	4.47795329
452	4.477487671
453	4.476011186
454	4.47480455
455	4.473805295
456	4.47077661
457	4.470401103
458	4.470133194
459	4.467876196
460	4.465677568
461	4.464348021
462	4.462999132
463	4.462598229
464	4.458364225
465	4.454400697
466	4.454189456
467	4.450286453
468	4.446712328
469	4.444253226
470	4.437470199
471	4.436188927
472	4.43396026
473	4.431841591
474	4.431251076
475	4.430049226
476	4.42957304
477	4.425802893
478	4.42068938
479	4.417940682
480	4.414521121
481	4.412844226
482	4.412548508
483	4.411386566
484	4.408241833
485	4.405707808
486	4.40518754
487	4.404968537
488	4.402846363
489	4.399167013
490	4.39793174
491	4.393987715
492	4.391925236
493	4.389992369
494	4.386312336
495	4.383675359
496	4.382157152
497	4.379246341
498	4.376021417
499	4.371460651
500	4.367026245
501	4.366309637
502	4.362562649
503	4.362272247
504	4.360114915
505	4.358631503
506	4.3584599
507	4.356053632
508	4.352902706
509	4.351102634
510	4.348735908
511	4.345710898
512	4.342294667
513	4.340884659
514	4.339117839
515	4.334768812
516	4.332244933
517	4.331344551
518	4.329640131
519	4.328626921
520	4.32701192
521	4.322774037
522	4.320167589
523	4.318443496
524	4.314108876
525	4.312392342
526	4.308366413
527	4.306775676
528	4.304964753
529	4.303558719
530	4.303134172
531	4.300063534
532	4.295613338
533	4.295246848
534	4.293296093
535	4.293204757
536	4.292098299
537	4.288885165
538	4.283755268
539	4.279471629
540	4.276134517
541	4.275200142
542	4.272367449
543	4.269297661
544	4.267503226
545	4.266902432
546	4.263663051
547	4.261139608
548	4.255781909
549	4.252684064
550	4.250502203
551	4.248114581
552	4.24626321
553	4.244702414
554	4.244584831
555	4.238872912
556	4.236897352
557	4.232678855
558	4.227226454
559	4.225546854
560	4.223956198
561	4.223424201
562	4.219868245
563	4.217241109
564	4.215057318
565	4.212211588
566	4.208908766
567	4.208543408
568	4.206352297
569	4.203816951
570	4.202239391
571	4.202042976
572	4.200919437
573	4.196640244
574	4.195109153
575	4.193333216
576	4.191729602
577	4.189247613
578	4.186653434
579	4.185234138
580	4.18368463
581	4.181665703
582	4.180781242
583	4.178349923
584	4.176687239
585	4.174790148
586	4.173658276
587	4.17322515
588	4.17287954
589	4.171019006
590	4.167075649
591	4.16578517
592	4.165447537
593	4.163745372
594	4.160995455
595	4.158982607
596	4.157832409
597	4.154158474
598	4.153415287
599	4.148948457
600	4.147848846
601	4.147605373
602	4.145854278
603	4.142072532
604	4.139622477
605	4.138699334
606	4.13750482
607	4.13380839
608	4.133349807
609	4.129206502
610	4.127947473
611	4.126518177
612	4.123016165
613	4.121680733
614	4.118425069
615	4.115706907
616	4.112985278
617	4.110816189
618	4.107925251
619	4.107741173
620	4.105045736
621	4.103123516
622	4.102485852
623	4.102439055
624	4.102040175
625	4.099677278
626	4.097949201
627	4.097356697
628	4.096994839
629	4.096753955
630	4.093747189
631	4.093156187
632	4.08861935
633	4.087040006
634	4.085895752
635	4.085359027
636	4.083129527
637	4.08119883
638	4.079335636
639	4.077902419
640	4.075568548
641	4.071214908
642	4.069912719
643	4.066198503
644	4.062937256
645	4.061957793
646	4.058509686
647	4.056590749
648	4.0521821
649	4.051211973
650	4.05084552
651	4.050544218
652	4.048869409
653	4.045548402
654	4.041885317
655	4.038964712
656	4.038618162
657	4.036904613
658	4.035672246
659	4.033948682
660	4.030539215
661	4.030015721
662	4.027146922
663	4.025630457
664	4.022764334
665	4.022312141
666	4.020703001
667	4.017560195
668	4.016430867
669	4.01634415
670	4.015357111
671	4.014088822
672	4.013065399
673	4.012112573
674	4.010382409
675	4.009594741
676	4.009068341
677	4.006460139
678	4.005087059
679	4.002452544
680	4.000199744
681	3.998791723
682	3.997450291
683	3.996541971
684	3.99489938
685	3.991250024
686	3.988813506
687	3.988383315
688	3.984302653
689	3.98126944
690	3.980980127
691	3.980081274
692	3.979924076
693	3.978653631
694	3.976515634
695	3.975514228
696	3.974298653
697	3.972719476
698	3.971992404
699	3.97074517
700	3.96737346
701	3.965467859
702	3.964771648
703	3.964093037
704	3.963718299
705	3.96367448
706	3.960703723
707	3.959652138
708	3.959613506
709	3.958762112
710	3.957983888
711	3.956899618
712	3.955506464
713	3.952062033
714	3.950814753
715	3.949564328
716	3.948936119
717	3.9475342
718	3.946130067
719	3.944814421
720	3.943613293
721	3.940383215
722	3.9395944
723	3.939513197
724	3.936565478
725	3.935295338
726	3.933205281
727	3.930470567
728	3.929789428
729	3.925481626
730	3.924155524
731	3.922597576
732	3.920030178
733	3.918548799
734	3.917780805
735	3.914811533
736	3.911742043
737	3.91170886
738	3.911443196
739	3.910230729
740	3.908581805
741	3.907527732
742	3.906868329
743	3.904736087
744	3.904262448
745	3.903063675
746	3.902842717
747	3.902118397
748	3.901209907
749	3.897351667
750	3.894853967
751	3.894124942
752	3.892010392
753	3.890910167
754	3.888329859
755	3.887666466
756	3.886177855
757	3.884968274
758	3.882312938
759	3.881527905
760	3.879415644
761	3.879005262
762	3.878781577
763	3.875681208
764	3.873988581
765	3.873210606
766	3.871565748
767	3.870088676
768	3.868330063
769	3.867517727
770	3.866738943
771	3.86617094
772	3.864655865
773	3.863468163
774	3.862555104
775	3.85958007
776	3.857369379
777	3.85514338
778	3.852816217
779	3.851586006
780	3.8500084
781	3.848442913
782	3.84571367
783	3.843667215
784	3.842641643
785	3.840185108
786	3.838204665
787	3.837946604
788	3.83502371
789	3.832633729
790	3.832276436
791	3.831904327
792	3.830408047
793	3.827312924
794	3.825604232
795	3.824182214
796	3.823284378
797	3.820739742
798	3.819117626
799	3.818462181
800	3.818015433
801	3.817502024
802	3.816302502
803	3.816147288
804	3.814470525
805	3.814237138
806	3.813135954
807	3.811780585
808	3.810648122
809	3.809198976
810	3.805376724
811	3.803777666
812	3.802725993
813	3.802677831
814	3.802151014
815	3.799664723
816	3.797254923
817	3.79619115
818	3.794395869
819	3.79219926
820	3.791463611
821	3.790894801
822	3.787515417
823	3.786533014
824	3.784431096
825	3.78354862
826	3.782815794
827	3.780522215
828	3.77922393
829	3.777732521
830	3.776873572
831	3.77655731
832	3.776063064
833	3.773430064
834	3.770705594
835	3.770052807
836	3.768453476
837	3.766897606
838	3.766766695
839	3.76462509
840	3.763967872
841	3.763866208
842	3.761004971
843	3.759681185
844	3.758235296
845	3.755896949
846	3.755073686
847	3.754693922
848	3.754653516
849	3.754398016
850	3.754250787
851	3.753856475
852	3.753338379
853	3.750138262
854	3.747941166
855	3.746009186
856	3.743436787
857	3.742787865
858	3.741515819
859	3.738789019
860	3.73830019
861	3.737397806
862	3.736949068
863	3.734078042
864	3.732947041
865	3.728790263
866	3.726041602
867	3.723682402
868	3.720693668
869	3.720615181
870	3.71991494
871	3.718477271
872	3.717187192
873	3.716511443
874	3.715081178
875	3.714203315
876	3.712745655
877	3.709121138
878	3.706934809
879	3.705091737
880	3.703686868
881	3.700994918
882	3.700807601
883	3.699338323
884	3.696736716
885	3.696324823
886	3.694712786
887	3.692791794
888	3.692105503
889	3.689105722
890	3.68751262
891	3.686968713
892	3.686740835
893	3.685300032
894	3.68480279
895	3.684253506
896	3.683447396
897	3.680639563
898	3.680493617
899	3.679170126
900	3.678375069
901	3.67834192
902	3.676735899
903	3.674068959
904	3.671729528
905	3.670641766
906	3.66784756
907	3.667096697
908	3.666147498
909	3.665724687
910	3.66390979
911	3.660217082
912	3.660084936
913	3.659527533
914	3.658847028
915	3.657809622
916	3.657152124
917	3.656230548
918	3.65469843
919	3.652724132
920	3.651514485
921	3.649282656
922	3.648001094
923	3.647503988
924	3.644472485
925	3.64071632
926	3.638938742
927	3.637771809
928	3.636644503
929	3.635324423
930	3.632866751
931	3.631472255
932	3.631094165
933	3.631009744
934	3.629542004
935	3.627578072
936	3.626448035
937	3.625362652
938	3.625343383
939	3.6249832
940	3.624728132
941	3.624022928
942	3.620980407
943	3.619979263
944	3.619402103
945	3.618868327
946	3.616793107
947	3.615736379
948	3.615102383
949	3.612794806
950	3.612513115
951	3.612102434
952	3.611024824
953	3.610414205
954	3.610041326
955	3.609535625
956	3.608562665
957	3.607936426
958	3.606791152
959	3.606313349
960	3.602440551
961	3.602317426
962	3.60169329
963	3.601007148
964	3.59961983
965	3.599576281
966	3.597574888
967	3.597541706
968	3.594940215
969	3.59422046
970	3.592393647
971	3.590979999
972	3.590556634
973	3.585926182
974	3.585018816
975	3.584283718
976	3.583668091
977	3.581829868
978	3.581717839
979	3.581633695
980	3.579881487
981	3.579767391
982	3.579631862
983	3.577790884
984	3.576472552
985	3.574479019
986	3.573116053
987	3.571803798
988	3.570834682
989	3.569400936
990	3.56867386
991	3.566264813
992	3.566105152
993	3.565182661
994	3.562768731
995	3.561230112
996	3.56056377
997	3.559564069
998	3.558375455
999	3.556073875
